job,country,number_of_pages,unique_url
Data Scientist,Hungary,131,"https://www.glassdoor.com/Salaries/hungary-data-scientist-salary-SRCH_IL.0,7_IN111_KO8,22_IP{}.htm"
Data Scientist,Brazil,3780,"https://www.glassdoor.com/Salaries/brazil-data-scientist-salary-SRCH_IL.0,6_IN36_KO7,21_IP{}.htm"
Data Scientist,Philippines,200,"https://www.glassdoor.com/Salaries/philippines-data-scientist-salary-SRCH_IL.0,11_IN204_KO12,26_IP{}.htm"
Data Scientist,Indonesia,560,"https://www.glassdoor.com/Salaries/indonesia-data-scientist-salary-SRCH_IL.0,9_IN113_KO10,24_IP{}.htm"
Data Scientist,Turkey,404,"https://www.glassdoor.com/Salaries/turkey-data-scientist-salary-SRCH_IL.0,6_IN238_KO7,21_IP{}.htm"
Data Scientist,Romania,80,"https://www.glassdoor.com/Salaries/romania-data-scientist-salary-SRCH_IL.0,7_IN203_KO8,22_IP{}.htm"
Data Scientist,Bahrain,1,"https://www.glassdoor.com/Salaries/bahrain-data-scientist-salary-SRCH_IL.0,7_IN21_KO8,22_IP{}.htm"
Data Scientist,Bangladesh,80,"https://www.glassdoor.com/Salaries/bangladesh-data-scientist-salary-SRCH_IL.0,10_IN27_KO11,25_IP{}.htm"
Data Scientist,Egypt,260,"https://www.glassdoor.com/Salaries/egypt-data-scientist-salary-SRCH_IL.0,5_IN69_KO6,20_IP{}.htm"
Data Scientist,Colombia,440,"https://www.glassdoor.com/Salaries/colombia-data-scientist-salary-SRCH_IL.0,8_IN54_KO9,23_IP{}.htm"
Data Scientist,Mexico,908,"https://www.glassdoor.com/Salaries/mexico-data-scientist-salary-SRCH_IL.0,6_IN169_KO7,21_IP{}.htm"
Data Scientist,Azerbaijan,20,"https://www.glassdoor.com/Salaries/azerbaijan-data-scientist-salary-SRCH_IL.0,10_IN9_KO11,25_IP{}.htm"
Data Scientist,Kazakhstan,60,"https://www.glassdoor.com/Salaries/kazakhstan-data-scientist-salary-SRCH_IL.0,10_IN138_KO11,25_IP{}.htm"
Data Scientist,Argentina,500,"https://www.glassdoor.com/Salaries/argentina-data-scientist-salary-SRCH_IL.0,9_IN15_KO10,24_IP{}.htm"
Data Scientist,Belarus,20,"https://www.glassdoor.com/Salaries/belarus-data-scientist-salary-SRCH_IL.0,7_IN33_KO8,22_IP{}.htm"
Data Scientist,Serbia,40,"https://www.glassdoor.com/Salaries/serbia-data-scientist-salary-SRCH_IL.0,6_IN200_KO7,21_IP{}.htm"
Data Scientist,South Africa,400,"https://www.glassdoor.com/Salaries/south-africa-data-scientist-salary-SRCH_IL.0,12_IN211_KO13,27_IP{}.htm"
Data Scientist,Jordan,140,"https://www.glassdoor.com/Salaries/data-scientist-salary-SRCH_IM567_KO0,14_IP{}.htm"
Data Scientist,Sri Lanka,100,"https://www.glassdoor.com/Salaries/sri-lanka-data-scientist-salary-SRCH_IL.0,9_IN45_KO10,24_IP{}.htm"
Data Scientist,Greece,220,"https://www.glassdoor.com/Salaries/greece-data-scientist-salary-SRCH_IL.0,6_IN100_KO7,21_IP{}.htm"
